"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"200.99.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Coil " , "Coil, variable " , "Coil, variable"
"201.1.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, general"
"201.1.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact (do not use anymore)"
"201.1.2 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO auxiliary contact"
"201.1.3 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "Power NO contact"
"201.1.4 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "Multi-function NO contact"
"201.1.5 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, with delayed closing"
"201.1.6 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, with delayed opening"
"201.1.7 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, leading"
"201.1.8 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, late break"
"201.1.9 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, with delayed closing and opening"
"201.1.10 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, momentary contact make, right"
"201.1.11 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, momentary contact make, left"
"201.1.12 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, momentary contact make, right and left"
"201.1.13 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact with spring return"
"201.1.14 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, 2 connection points " , "NO contact, thermal release"
"201.2.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "Double NO contact, 4 connection points " , "Double NO contact, general"
"201.2.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "Double NO contact, 4 connection points " , "Duplicate NO contact"
"201.3.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "Triple NO contact, 6 connection points " , "Triple NO contact, general"
"201.3.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "Triple NO contact, 6 connection points " , "Triple NO contact"
"201.98.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "Graphic " , "Graphic"
"201.99.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NO contact " , "NO contact, variable " , "NO contact, variable"
"202.1.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, general"
"202.1.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact (do not use anymore)"
"202.1.2 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC auxiliary contact"
"202.1.3 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "Power NC contact"
"202.1.4 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "Multi-function NC contact"
"202.1.5 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, with delayed closing"
"202.1.6 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, with delayed opening"
"202.1.7 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, leading"
"202.1.8 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, late break"
"202.1.9 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, with delayed closing and opening"
"202.1.10 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, momentary contact make, right"
"202.1.11 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, momentary contact make, left"
"202.1.12 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, momentary contact make, right and left"
"202.1.13 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact with spring return"
"202.1.14 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "NC contact, thermal release"
"202.1.999 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, 2 connection points " , "Change-over contact, NC contact (two-path) (do not use anymore)"
"202.2.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "Double NC contact, 4 connection points " , "Double NC contact, general"
"202.2.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "Double NC contact, 4 connection points " , "Double NC contact"
"202.3.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "Triple NC contact, 6 connection points " , "Triple NC contact, general"
"202.3.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "Triple NC contact, 6 connection points " , "Triple NC contact"
"202.98.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "Graphic " , "Graphic"
"202.99.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "NC contact " , "NC contact, variable " , "NC contact, variable"
"203.1.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, general"
"203.1.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact (do not use anymore)"
"203.1.2 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over auxiliary contact"
"203.1.3 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Power change-over contact"
"203.1.4 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Multi-function change-over contact"
"203.1.5 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, off-delay"
"203.1.6 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, on-delay"
"203.1.7 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, leading"
"203.1.8 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, late break"
"203.1.9 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, on- and off-delay"
"203.1.10 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, momentary contact make, right"
"203.1.11 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, momentary contact make, left"
"203.1.12 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, momentary contact make, right and left"
"203.1.13 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact with spring return"
"203.1.14 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, thermal release"
"203.1.15 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, 3 connection points " , "Change-over contact, leading and late break"
"203.98.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Graphic " , "Graphic"
"203.99.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Change-over contact " , "Change-over contact, variable " , "Change-over contact, variable"
"204.1.0 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, 2 connection points " , "Protective circuit, general"
"204.1.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, 2 connection points " , "Protective circuit"
"204.1.2 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, 2 connection points " , "Protective circuit, diode"
"204.1.3 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, 2 connection points " , "Protective circuit, diode with zener diode"
"204.1.4 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, 2 connection points " , "Protective circuit, RC network"
"204.1.5 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, 2 connection points " , "Protective circuit, varistor"
"204.98.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Graphic " , "Graphic"
"204.99.1 " , "Electrical engineering " , "Coils, contacts, and protective circuits " , "Protective circuit " , "Protective circuit, variable " , "Protective circuit, variable"
"300.1.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, I / O, 1 connection point " , "PLC connection point, general"
"300.1.2 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, I / O, 1 connection point " , "PLC connection point, DI"
"300.1.3 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, I / O, 1 connection point " , "PLC connection point, DO"
"300.1.4 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, I / O, 1 connection point " , "PLC connection point, AI"
"300.1.5 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, I / O, 1 connection point " , "PLC connection point, AO"
"300.1.6 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, I / O, 1 connection point " , "PLC connection point, multifunction"
"300.2.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (undefined)"
"300.2.2 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (L)"
"300.2.3 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (N)"
"300.2.4 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (PE)"
"300.2.5 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (+)"
"300.2.6 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (M)"
"300.2.7 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (-)"
"300.2.8 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, card power supply, 1 connection point " , "PLC conn. point, PLC CPS (SH)"
"300.3.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (undefined)"
"300.3.2 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (L)"
"300.3.3 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (N)"
"300.3.4 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (PE)"
"300.3.5 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (+)"
"300.3.6 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (M)"
"300.3.7 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (-)"
"300.3.8 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, power supply, 1 connection point " , "PLC connection point, PLC PS (SH)"
"300.4.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable " , "Network / bus cable connection, general"
"300.4.2 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable " , "Network / bus cable connection point, source (do not use anymore)"
"300.4.3 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable " , "Network / bus cable connection point, input (do not use anymore)"
"300.4.4 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable " , "Network / bus cable connection point, output (do not use anymore)"
"300.4.5 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable " , "Network / bus cable connection, switch connection"
"300.4.6 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable " , "Network / bus cable connection point, target (do not use anymore)"
"300.5.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable, 2 connection points " , "Network / bus cable connection, general"
"300.5.2 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, network / bus cable, 2 connection points " , "Network / bus cable connection, throughput"
"300.6.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, 2 connection points " , "PLC connection point, general, 2 connection points"
"300.7.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, internal " , "PLC connection point, internal, general"
"300.98.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "Graphic " , "Graphic"
"300.99.0 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, variable " , "PLC connection point, general, variable"
"300.99.1 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, variable " , "PLC connection point, variable"
"300.99.2 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, variable " , "PLC connection point, variable, DI"
"300.99.3 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, variable " , "PLC connection point, variable, DO"
"300.99.4 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, variable " , "PLC connection point, variable, AI"
"300.99.5 " , "Electrical engineering " , "PLC / bus " , "PLC connection point " , "PLC connection point, variable " , "PLC connection point, variable, AO"
"301.1.1 " , "Electrical engineering " , "PLC / bus " , "PLC box " , "PLC box " , "PLC box"
"400.1.1 " , "Electrical engineering " , "Cable / Antenna " , "Cable " , "Cable " , "Cable definition"
"401.1.1 " , "Electrical engineering " , "Cable / Antenna " , "Shield " , "Shield " , "Shield, Cable definition"
"430.1.1 " , "Electrical engineering " , "Cable / Antenna " , "Antenna " , "Antenna " , "Antenna"
"500.1.0 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Single safety fuse " , "Safety fuse, general"
"500.1.1 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Single safety fuse " , "Safety fuse"
"500.1.2 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Single safety fuse " , "Fused disconnect, single"
"500.2.0 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Double safety fuse " , "Double safety fuse, general"
"500.2.1 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Double safety fuse " , "Double safety fuse"
"500.2.2 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Double safety fuse " , "Fused disconnect, double"
"500.3.0 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Triple safety fuse " , "Triple safety fuse, general"
"500.3.1 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Triple safety fuse " , "Triple safety fuse"
"500.3.2 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Triple safety fuse " , "Fused disconnect, triple"
"500.4.0 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Quadruple safety fuse " , "Quadruple safety fuse, general"
"500.4.1 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Quadruple safety fuse " , "Quadruple safety fuse"
"500.4.2 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Quadruple safety fuse " , "Fused disconnect, quadruple"
"500.98.1 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Graphic " , "Graphic"
"500.99.1 " , "Electrical engineering " , "Protection device " , "Safety fuse " , "Safety fuse, variable " , "Safety fuse, variable"
"501.1.1 " , "Electrical engineering " , "Protection device " , "Circuit breaker " , "Single circuit breaker " , "Circuit breaker"
"501.2.1 " , "Electrical engineering " , "Protection device " , "Circuit breaker " , "Double circuit-breaker " , "Double circuit breaker"
"501.3.1 " , "Electrical engineering " , "Protection device " , "Circuit breaker " , "Triple circuit breaker " , "Triple circuit breaker"
"501.4.1 " , "Electrical engineering " , "Protection device " , "Circuit breaker " , "Quadruple circuit-breaker " , "Quadruple circuit-breaker"
"501.98.1 " , "Electrical engineering " , "Protection device " , "Circuit breaker " , "Graphic " , "Graphic"
"501.99.1 " , "Electrical engineering " , "Protection device " , "Circuit breaker " , "Circuit breaker, variable " , "Circuit breaker, variable"
"502.1.1 " , "Electrical engineering " , "Protection device " , "Motor overload switch " , "Motor overload switch, 6 connection points " , "Motor overload switch three-pole"
"502.2.1 " , "Electrical engineering " , "Protection device " , "Motor overload switch " , "Motor overload switch, 8 connection points " , "Motor overload switch, four-pole"
"502.3.1 " , "Electrical engineering " , "Protection device " , "Motor overload switch " , "Motor overload switch, 2 connection points " , "Motor overload switch one-pole"
"502.4.1 " , "Electrical engineering " , "Protection device " , "Motor overload switch " , "Motor overload switch, 4 connection points " , "Motor overload switch, two-pole"
"502.98.1 " , "Electrical engineering " , "Protection device " , "Motor overload switch " , "Graphic " , "Graphic"
"502.99.1 " , "Electrical engineering " , "Protection device " , "Motor overload switch " , "Motor overload switch, variable " , "Motor overload switch, variable"
"503.1.1 " , "Electrical engineering " , "Protection device " , "Overload " , "Thermal release, 6 connection points " , "Thermal release (bimetal relay)"
"503.2.1 " , "Electrical engineering " , "Protection device " , "Overload " , "Thermal release, 8 connection points " , "Thermal release (bimetal relay), four-pole"
"503.98.1 " , "Electrical engineering " , "Protection device " , "Overload " , "Graphic " , "Graphic"
"503.99.1 " , "Electrical engineering " , "Protection device " , "Overload " , "Overload, variable " , "Overload, variable"
"504.1.1 " , "Electrical engineering " , "Protection device " , "Ground fault current circuit-breaker " , "Ground fault current circuit breakers, 4 connection points " , "Ground fault current circuit breaker, two-pole"
"504.2.1 " , "Electrical engineering " , "Protection device " , "Ground fault current circuit-breaker " , "Ground fault current circuit breakers, 8 connection points " , "Ground fault current circuit breaker, four-pole"
"504.3.1 " , "Electrical engineering " , "Protection device " , "Ground fault current circuit-breaker " , "Ground fault current circuit breakers, 6 connection points " , "Ground fault current circuit breaker, three-pole"
"504.98.1 " , "Electrical engineering " , "Protection device " , "Ground fault current circuit-breaker " , "Graphic " , "Graphic"
"504.99.1 " , "Electrical engineering " , "Protection device " , "Ground fault current circuit-breaker " , "Ground fault current circuit breakers, variable " , "Ground fault current circuit breakers, variable"
"505.1.1 " , "Electrical engineering " , "Protection device " , "Ground fault voltage circuit-breaker " , "Shunt releases, 2 connection points " , "Undervoltage release"
"505.1.2 " , "Electrical engineering " , "Protection device " , "Ground fault voltage circuit-breaker " , "Shunt releases, 2 connection points " , "Overvoltage release"
"505.98.1 " , "Electrical engineering " , "Protection device " , "Ground fault voltage circuit-breaker " , "Graphic " , "Graphic"
"505.99.1 " , "Electrical engineering " , "Protection device " , "Ground fault voltage circuit-breaker " , "Ground fault voltage circuit breakers, variable " , "Ground fault voltage circuit breakers, variable"
"506.1.1 " , "Electrical engineering " , "Protection device " , "Safety switch " , "Safety switch, 2 connection points " , "Safety switch, single-pole"
"506.2.1 " , "Electrical engineering " , "Protection device " , "Safety switch " , "Safety switch, 4 connection points " , "Safety switch, two-pole"
"506.3.1 " , "Electrical engineering " , "Protection device " , "Safety switch " , "Safety switch, 6 connection points " , "Safety switch, three-pole"
"506.4.1 " , "Electrical engineering " , "Protection device " , "Safety switch " , "Safety switch, 8 connection points " , "Safety switch, four-pole"
"506.98.1 " , "Electrical engineering " , "Protection device " , "Safety switch " , "Graphic " , "Graphic"
"506.99.1 " , "Electrical engineering " , "Protection device " , "Safety switch " , "Safety switch, variable " , "Safety switch, variable"
"507.1.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 2 connection points " , "Discharger, single-pole"
"507.2.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 3 connection points " , "Discharger, two-pole, 3 connection points"
"507.3.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 4 connection points " , "Discharger, two-pole, 4 connection points"
"507.3.2 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 4 connection points " , "Discharger, three-pole, 4 connection points"
"507.4.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 5 connection points " , "Discharger, four-pole, 5 connection points"
"507.5.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 6 connection points " , "Discharger, three-pole, 6 connection points"
"507.6.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, 8 connection points " , "Discharger, four-pole, 8 connection points"
"507.98.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Graphic " , "Graphic"
"507.99.1 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, variable " , "Discharger, variable"
"507.99.2 " , "Electrical engineering " , "Protection device " , "Discharger " , "Discharger, variable " , "Discharger with PE, variable"
"600.1.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NO contact, 2 connection points " , "Switch / pushbutton, general, NO contact"
"600.1.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NO contact, 2 connection points " , "Switch, NO contact"
"600.1.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NO contact, 2 connection points " , "Pushbutton, NO contact"
"600.1.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NO contact, 2 connection points " , "Pushbutton with latching position, NO"
"600.2.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NC contact, 2 connection points " , "Switch / pushbutton, general, NC contact"
"600.2.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NC contact, 2 connection points " , "Switch, NC contact"
"600.2.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NC contact, 2 connection points " , "Pushbutton, NC contact"
"600.2.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, NC contact, 2 connection points " , "Pushbutton with latching position, NC"
"600.3.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, change-over contact, 3 connection points " , "Switch / pushbutton, general, change-over contact"
"600.3.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, change-over contact, 3 connection points " , "Switch, change-over contact"
"600.3.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, change-over contact, 3 connection points " , "Pushbutton, change-over contact"
"600.4.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Double switch / pushbutton, 4 connection points " , "Switch, double NO contact"
"600.4.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Double switch / pushbutton, 4 connection points " , "Switch, double NC contact"
"600.4.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Double switch / pushbutton, 4 connection points " , "Switch, NO-NC combination"
"600.5.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Triple switch / pushbutton, 6 connection points " , "Switch, triple NO contact"
"600.5.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Triple switch / pushbutton, 6 connection points " , "Switch, triple NC contact"
"600.6.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Quadruple switch / pushbutton, 8 connection points " , "Switch, quadruple NO contact"
"600.6.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Quadruple switch / pushbutton, 8 connection points " , "Switch, quadruple NC contact"
"600.98.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Graphic " , "Graphic"
"600.99.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Switch / pushbutton " , "Switch / pushbutton, variable " , "Switch, variable"
"601.1.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, NO contact, 2 connection points " , "Limit switch, NO contact"
"601.2.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, NC contact, 2 connection points " , "Limit switch, NC contact"
"601.3.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, change-over contact, 3 connection points " , "Limit switch, change-over contact"
"601.4.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, double switch, 4 connection points " , "Limit switch, general, 4 connection points"
"601.4.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, double switch, 4 connection points " , "Limit switch, double NO contact"
"601.4.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, double switch, 4 connection points " , "Limit switch, double NC contact"
"601.4.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, double switch, 4 connection points " , "Limit switch, NO-NC combination"
"601.98.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Graphic " , "Graphic"
"601.99.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Limit switch, mechanical " , "Limit switch, variable " , "Limit switch, variable"
"602.1.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, NO contact, 2 connection points " , "Light barrier, NO contact"
"602.2.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, NC contact, 2 connection points " , "Light barrier, NC contact"
